Number of SMS: 2
Character,Hex,Encoding,Byte,Segment
R,0x0052,UCS-2,2,1
u,0x0075,UCS-2,2,1
m,0x006D,UCS-2,2,1
o,0x006F,UCS-2,2,1
r,0x0072,UCS-2,2,1
s,0x0073,UCS-2,2,1
 ,0x0020,UCS-2,2,1
s,0x0073,UCS-2,2,1
a,0x0061,UCS-2,2,1
y,0x0079,UCS-2,2,1
 ,0x0020,UCS-2,2,1
t,0x0074,UCS-2,2,1
h,0x0068,UCS-2,2,1
e,0x0065,UCS-2,2,1
r,0x0072,UCS-2,2,1
e,0x0065,UCS-2,2,1
 ,0x0020,UCS-2,2,1
w,0x0077,UCS-2,2,1
i,0x0069,UCS-2,2,1
l,0x006C,UCS-2,2,1
l,0x006C,UCS-2,2,1
 ,0x0020,UCS-2,2,1
b,0x0062,UCS-2,2,1
e,0x0065,UCS-2,2,1
 ,0x0020,UCS-2,2,1
f,0x0066,UCS-2,2,1
r,0x0072,UCS-2,2,1
e,0x0065,UCS-2,2,1
e,0x0065,UCS-2,2,1
 ,0x0020,UCS-2,2,1
h,0x0068,UCS-2,2,1
e,0x0065,UCS-2,2,1
a,0x0061,UCS-2,2,1
l,0x006C,UCS-2,2,1
t,0x0074,UCS-2,2,1
h,0x0068,UCS-2,2,1
y,0x0079,UCS-2,2,1
 ,0x0020,UCS-2,2,1
s,0x0073,UCS-2,2,1
m,0x006D,UCS-2,2,1
o,0x006F,UCS-2,2,1
o,0x006F,UCS-2,2,1
t,0x0074,UCS-2,2,1
h,0x0068,UCS-2,2,1
i,0x0069,UCS-2,2,1
e,0x0065,UCS-2,2,1
s,0x0073,UCS-2,2,1
 ,0x0020,UCS-2,2,1
a,0x0061,UCS-2,2,1
t,0x0074,UCS-2,2,1
 ,0x0020,UCS-2,2,1
t,0x0074,UCS-2,2,1
h,0x0068,UCS-2,2,1
e,0x0065,UCS-2,2,1
 ,0x0020,UCS-2,2,1
T,0x0054,UCS-2,2,1
w,0x0077,UCS-2,2,1
i,0x0069,UCS-2,2,1
l,0x006C,UCS-2,2,1
i,0x0069,UCS-2,2,1
o,0x006F,UCS-2,2,1
 ,0x0020,UCS-2,2,1
b,0x0062,UCS-2,2,1
o,0x006F,UCS-2,2,1
o,0x006F,UCS-2,2,1
t,0x0074,UCS-2,2,1
h,0x0068,UCS-2,2,1
 ,0x0020,UCS-2,2,1
🥤,U+1F964,UCS-2,4,1
🍓,U+1F353,UCS-2,4,2
🍍,U+1F34D,UCS-2,4,2
